Kanji;Strokes;"On within Joyo";"Kun within Joyo"
織;18;"shoku, 	shiki";o(ru)
職;18;shoku;-
辱;10;joku;hazukashi(meru)
尻;5;-;shiri
心;4;shin;kokoro
申;5;shin;moo(su)
伸;7;shin;"no(biru), no(basu), no(beru)"
臣;7;"shin, 	jin";-
芯;7;shin;-
身;7;shin;mi
辛;7;shin;kara(i)
侵;9;shin;oka(su)
信;9;shin;-
津;9;shin;tsu
神;9;"shin, 	jin";"kami, [kan], [koo]"
唇;10;shin;kuchibiru
娠;10;shin;-
振;10;shin;"fu(ru), fu(ruu), fu(reru)"
浸;10;shin;"hita(su), hita(ru)"
真;10;shin;ma
針;10;shin;hari
深;11;shin;"fuka(i), fuka(maru), fuka(meru)"
紳;11;shin;-
進;11;shin;"susu(mu), susu(meru)"
森;12;shin;mori
診;12;shin;mi(ru)
寝;13;shin;"ne(ru), ne(kasu)"
慎;13;shin;tsutsushi(mu)
新;13;shin;"atara(shii), ara(ta), nii"
審;15;shin;-
震;15;shin;"furu(u), furu(eru)"
薪;16;shin;takigi
親;16;shin;"oya, shita(shii), shita(shimu)"
人;2;"jin, 	nin";hito
刃;3;jin;ha
仁;4;"jin, [ni]";-
尽;6;jin;"tsu(kusu), tsu(kiru), tsu(kasu)"
迅;6;jin;-
甚;9;jin;"hanaha(da), hanaha(dashii)"
陣;10;jin;-
尋;12;jin;tazu(neru)
腎;13;jin;-
須;12;su;-
図;7;"zu, 	to";haka(ru)
水;4;sui;mizu
吹;7;sui;fu(ku)
垂;8;sui;"ta(reru), ta(rasu)"
炊;8;sui;ta(ku)
帥;9;sui;-
粋;10;sui;iki
衰;10;sui;otoro(eru)
推;11;sui;o(su)
酔;11;sui;yo(u)
遂;12;sui;to(geru)
睡;13;sui;-
穂;15;sui;ho
随;12;zui;-
髄;19;zui;-
枢;8;suu;-
崇;11;suu;-
数;13;"suu, [su]";"kazu, kazo(eru)"
据;11;-;"su(eru), su(waru)"
杉;7;-;sugi
裾;13;-;suso
寸;3;sun;-
瀬;19;-;se
是;9;ze;-
井;4;"sei, [shoo]";i
世;5;"sei, 	se";yo
正;5;"sei, 	shoo";"tada(shii), tada(su), masa"
生;5;"sei, 	shoo";"i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama"
成;6;"sei, [joo]";"na(ru), na(su)"
西;6;"sei, 	sai";nishi
声;7;"sei, [shoo]";"koe, [kowa]"
制;8;sei;-
姓;8;"sei, 	shoo";-
征;8;sei;-
性;8;"sei, 	shoo";-
青;8;"sei, [shoo]";"ao, ao(i)"
斉;8;sei;-
政;9;"sei, [shoo]";matsurigoto
星;9;"sei, [shoo]";hoshi
牲;9;sei;-
省;9;"sei, 	shoo";"kaeri(miru), habu(ku)"
凄;10;sei;-
逝;10;sei;"yu(ku), i(ku)"
清;11;"sei, [shoo]";"kiyo(i), kiyo(maru), kiyo(meru)"
盛;11;"sei, [joo]";"mo(ru), saka(ru), saka(n)"
婿;12;sei;muko
晴;12;sei;"ha(reru), ha(rasu)"
勢;13;sei;ikio(i)
聖;13;sei;-
誠;13;sei;makoto
精;14;"sei, [shoo]";-
製;14;sei;-
誓;14;sei;chika(u)
静;14;"sei, [joo]";"shizu, shizu(ka), shizu(maru), shizu(meru)"
請;15;"sei, [shin]";"ko(u), u(keru)"
整;16;sei;"totono(eru), totono(u)"
醒;16;sei;-
税;12;zei;-
夕;3;seki;yuu
斥;5;seki;-
石;5;"seki, [shaku], [koku]";ishi
赤;7;"seki, [shaku]";"aka, aka(i), aka(ramu), aka(rameru)"
昔;8;"seki, [shaku]";mukashi
析;8;seki;-
席;10;seki;-
脊;10;seki;-
隻;10;seki;-
惜;11;seki;"o(shii), o(shimu)"
戚;11;seki;-
責;11;seki;se(meru)
跡;13;seki;ato
積;16;seki;"tsu(mu), tsu(moru)"
績;17;seki;-
籍;20;seki;-
切;4;"setsu, [sai]";"ki(ru), ki(reru)"
折;7;setsu;"o(ru), ori, o(reru)"
拙;8;setsu;tsutana(i)
窃;9;setsu;-
接;11;setsu;tsu(gu)
設;11;setsu;moo(keru)
雪;11;setsu;yuki
摂;13;setsu;-
節;13;"setsu, [sechi]";fushi
説;14;"setsu, [zei]";to(ku)
舌;6;zetsu;shita
絶;12;zetsu;"ta(eru), ta(yasu), ta(tsu)"
千;3;sen;chi
川;3;sen;kawa
仙;5;sen;-
占;5;sen;"shi(meru), urana(u)"
先;6;sen;saki
宣;9;sen;-
専;9;sen;moppa(ra)
泉;9;sen;izumi
浅;9;sen;asa(i)
洗;9;sen;ara(u)
染;9;sen;"so(meru), so(maru), shi(miru), shi(mi)"
扇;10;sen;oogi
栓;10;sen;-
旋;11;sen;-
船;11;sen;"fune, [funa]"
